Time,Latitude,Longitude,Altitude,PosX,PosY,PosZ,VelX,VelY,VelZ
21.0,35.5167375,-101.11061999999998,92687.09999999963,-1016084.0190729852,-5173947.067737902,3738525.366971845,-4994.755972783314,-171.64975132327527,-2373.576179495547
22.0,35.493725,-101.16350666666665,92231.06666666642,-1021078.7750457685,-5174118.717489225,3736151.7907923493,-4994.178677536198,-157.96245113573968,-2379.5608414793387
23.0,35.4707125,-101.21639333333331,91765.2333333334,-1026072.9537233047,-5174276.679940361,3733772.22995087,-4993.570830872166,-144.27122675813735,-2385.5354145928286
24.0,35.4477,-101.26927999999998,91289.59999999963,-1031066.5245541768,-5174420.951167119,3731386.694536277,-4992.932415629271,-130.57614076975733,-2391.4998933412135
25.0,35.4246875,-101.32216666666665,90804.16666666698,-1036059.4569698061,-5174551.5273078885,3728995.194642936,-4992.263414774905,-116.87725579086691,-2397.4542722385377
26.0,35.401675,-101.37505333333331,90308.93333333358,-1041051.720384581,-5174668.404563679,3726597.7403706973,-4991.563811397762,-103.17463449388742,-2403.398545806762
27.0,35.3786625,-101.42793999999998,89803.90000000037,-1046043.2841959788,-5174771.579198173,3724194.3418248906,-4990.833588703186,-89.46833958849311,-2409.332708565984
28.0,35.35565,-101.48082666666664,89289.06666666642,-1051034.117784682,-5174861.047537762,3721785.0091163246,-4990.072730027139,-75.75843382347375,-2415.256755047478
29.0,35.3326375,-101.53371333333331,88764.43333333358,-1056024.190514709,-5174936.805971585,3719369.752361277,-4989.28121882421,-62.044979999773204,-2421.1706797890365
30.0,35.309625,-101.58659999999998,88230.0,-1061013.4717335333,-5174998.850951585,3716948.581681488,-4988.459038668778,-48.328040953725576,-2427.0744773256592
31.0,35.2866125,-101.63948666666664,87685.7666666666,-1066001.930772202,-5175047.178992539,3714521.5072041624,-4987.606173263863,-34.607679564505816,-2432.9681422053836
32.0,35.2636,-101.69237333333331,87131.7333333334,-1070989.536945466,-5175081.786672103,3712088.539061957,-4986.722606433323,-20.883958756923676,-2438.8516689804383
